,Open Day,HOUR_ENDING,LZ_HOUSTON,ACTUAL_LZ_SOUTH_HOUSTON
161,06/06/2024,17,29.37,1358.25
162,06/06/2024,17,35.89,1358.25
163,06/06/2024,17,39.3,1358.25
164,06/06/2024,18,49.01,1338.79
165,06/06/2024,18,60.72,1338.79
166,06/06/2024,18,51.76,1338.79
167,06/06/2024,18,35.14,1338.79
168,06/06/2024,19,24.36,1943.23
169,06/06/2024,19,24.0,1943.23
170,06/06/2024,19,25.78,1943.23
171,06/06/2024,19,30.31,1943.23
172,06/06/2024,20,28.5,2326.76
173,06/06/2024,20,29.14,2326.76
174,06/06/2024,20,35.22,2326.76
175,06/06/2024,20,30.95,2326.76
176,06/06/2024,21,31.75,2654.21
177,06/06/2024,21,23.76,2654.21
178,06/06/2024,21,23.26,2654.21
179,06/06/2024,21,22.72,2654.21
180,06/06/2024,22,24.3,2706.53
181,06/06/2024,22,21.64,2706.53
182,06/06/2024,22,20.69,2706.53
183,06/06/2024,22,19.86,2706.53
184,06/06/2024,23,22.61,2660.31
185,06/06/2024,23,20.99,2660.31
186,06/06/2024,23,20.73,2660.31
187,06/06/2024,23,20.7,2660.31
188,06/06/2024,24,18.39,2308.7
189,06/06/2024,24,18.13,2308.7
190,06/06/2024,24,17.21,2308.7
191,06/06/2024,24,15.97,2308.7
192,06/07/2024,1,16.2,1819.88
193,06/07/2024,1,15.79,1819.88
194,06/07/2024,1,15.32,1819.88
195,06/07/2024,1,13.7,1819.88
196,06/07/2024,2,14.05,1545.54
197,06/07/2024,2,15.35,1545.54
198,06/07/2024,2,15.62,1545.54
199,06/07/2024,2,15.65,1545.54
200,06/07/2024,3,14.59,1366.56
201,06/07/2024,3,15.46,1366.56
202,06/07/2024,3,15.79,1366.56
203,06/07/2024,3,15.81,1366.56
204,06/07/2024,4,16.14,
205,06/07/2024,4,15.91,
206,06/07/2024,4,16.38,
207,06/07/2024,4,17.25,
208,06/07/2024,5,19.17,
209,06/07/2024,5,20.32,
210,06/07/2024,5,18.63,
211,06/07/2024,5,18.91,
212,06/07/2024,6,20.64,
213,06/07/2024,6,20.46,
214,06/07/2024,6,19.56,
215,06/07/2024,6,18.82,
216,06/07/2024,7,18.6,
217,06/07/2024,7,17.75,
218,06/07/2024,7,16.92,
219,06/07/2024,7,15.97,
220,06/07/2024,8,15.47,
221,06/07/2024,8,13.66,
222,06/07/2024,8,13.53,
223,06/07/2024,8,13.1,
224,06/07/2024,9,13.69,
225,06/07/2024,9,14.38,
226,06/07/2024,9,13.39,
227,06/07/2024,9,11.79,
228,06/07/2024,10,12.85,
229,06/07/2024,10,12.16,
230,06/07/2024,10,12.61,
231,06/07/2024,10,14.19,
232,06/07/2024,11,15.78,
233,06/07/2024,11,17.2,
234,06/07/2024,11,17.79,
235,06/07/2024,11,19.13,
236,06/07/2024,12,31.36,
237,06/07/2024,12,28.89,
238,06/07/2024,12,31.76,
239,06/07/2024,12,30.59,
240,06/07/2024,13,25.76,
241,06/07/2024,13,43.31,
242,06/07/2024,13,31.21,
243,06/07/2024,13,26.65,
244,06/07/2024,14,34.96,
245,06/07/2024,14,50.39,
246,06/07/2024,14,42.69,
247,06/07/2024,14,33.36,
248,06/07/2024,15,52.43,
249,06/07/2024,15,47.01,
250,06/07/2024,15,33.2,
251,06/07/2024,15,25.87,
252,06/07/2024,16,22.93,
253,06/07/2024,16,24.76,
254,06/07/2024,16,25.21,
255,06/07/2024,16,45.27,
256,06/07/2024,17,44.48,
257,06/07/2024,17,28.31,
258,06/07/2024,17,36.21,
259,06/07/2024,17,30.23,
260,06/07/2024,18,24.02,
261,06/07/2024,18,25.44,
262,06/07/2024,18,23.93,
263,06/07/2024,18,23.35,
264,06/07/2024,19,22.4,
265,06/07/2024,19,22.88,
266,06/07/2024,19,22.68,
267,06/07/2024,19,25.44,
268,06/07/2024,20,28.04,
269,06/07/2024,20,29.63,
270,06/07/2024,20,27.63,
271,06/07/2024,20,34.94,
272,06/07/2024,21,27.06,
273,06/07/2024,21,25.71,
274,06/07/2024,21,23.84,
275,06/07/2024,21,23.13,
276,06/07/2024,22,23.42,
277,06/07/2024,22,22.59,
278,06/07/2024,22,22.2,
279,06/07/2024,22,21.42,
280,06/07/2024,23,21.89,
281,06/07/2024,23,22.68,
282,06/07/2024,23,22.41,
283,06/07/2024,23,22.81,
284,06/07/2024,24,23.12,
285,06/07/2024,24,23.69,
286,06/07/2024,24,22.94,
287,06/07/2024,24,21.24,
288,06/08/2024,1,22.12,
289,06/08/2024,1,21.93,
290,06/08/2024,1,21.31,
291,06/08/2024,1,21.06,
292,06/08/2024,2,20.77,
293,06/08/2024,2,20.7,
294,06/08/2024,2,20.5,
295,06/08/2024,2,20.47,
296,06/08/2024,3,20.33,
297,06/08/2024,3,19.56,
298,06/08/2024,3,18.52,
299,06/08/2024,3,18.36,
300,06/08/2024,4,17.67,
301,06/08/2024,4,16.89,
302,06/08/2024,4,16.92,
303,06/08/2024,4,16.27,
304,06/08/2024,5,15.27,
305,06/08/2024,5,15.81,
306,06/08/2024,5,16.41,
307,06/08/2024,5,16.75,
308,06/08/2024,6,17.42,
309,06/08/2024,6,17.17,
310,06/08/2024,6,17.23,
311,06/08/2024,6,17.69,
312,06/08/2024,7,17.66,
313,06/08/2024,7,17.26,
314,06/08/2024,7,16.63,
315,06/08/2024,7,15.89,
316,06/08/2024,8,15.58,
317,06/08/2024,8,12.73,
318,06/08/2024,8,9.14,
319,06/08/2024,8,8.71,
320,06/08/2024,9,8.46,
321,06/08/2024,9,8.63,
322,06/08/2024,9,9.08,
323,06/08/2024,9,9.55,
324,06/08/2024,10,9.92,
325,06/08/2024,10,10.97,
326,06/08/2024,10,11.95,
327,06/08/2024,10,12.41,
328,06/08/2024,11,14.02,
329,06/08/2024,11,15.79,
330,06/08/2024,11,16.01,
331,06/08/2024,11,17.7,
332,06/08/2024,12,17.55,
333,06/08/2024,12,22.25,
334,06/08/2024,12,19.87,
